-2.63845	0.749575	47	79	-39.0
-2.72619	0.682541	45	80	-39.0
-2.80993	0.598083	43	82	-39.0
-2.88304	0.514898	42	83	-40.0
-2.95431	0.437329	40	85	-40.0
-3.03948	0.344097	39	87	-45.0
-3.1215	0.256445	37	88	-45.0
-3.19203	0.151902	36	90	-45.0
-3.25156	0.0306055	34	93	-45.0
-3.27983	-0.0714331	34	95	-42.0
-3.29956	-0.182503	34	97	-45.0
-3.29464	-0.313863	34	100	-45.0
-3.28289	-0.447149	34	102	-45.0
-3.28104	-0.579424	34	105	-45.0
-3.31348	-0.687469	33	107	-45.0
-3.38759	-0.771	32	109	-45.0
-3.52034	-0.797978	29	109	-45.0
-3.63161	-0.798884	27	109	-45.0
-3.7453	-0.757682	25	109	-45.0
-3.84977	-0.706851	23	108	-45.0
-3.95961	-0.673568	20	107	-47.0
-4.08237	-0.651814	18	107	-47.0
-4.2019	-0.635383	15	106	-47.0
-4.30838	-0.635447	13	106	-47.0
-4.44728	-0.627294	11	106	-47.0
-4.5561	-0.670607	8	107	-47.0
-4.68303	-0.670985	6	107	-47.0
-4.68114	-0.675003	6	107	-48.0
-4.56951	-0.676147	8	107	-48.0
-4.46246	-0.677428	10	107	-48.0
-4.35647	-0.672639	12	107	-46.0
-4.25174	-0.676247	14	107	-46.0
-4.14256	-0.675559	17	107	-46.0
-4.03671	-0.679838	19	107	-46.0
-3.92583	-0.684787	21	107	-46.0
-3.81939	-0.689403	23	107	-46.0
-3.7035	-0.695796	25	107	-45.0
-3.59381	-0.696456	28	107	-45.0
-3.48278	-0.702377	30	108	-40.0
-3.38008	-0.71598	32	108	-40.0
-3.26822	-0.722845	34	108	-40.0
-3.15662	-0.729912	36	108	-41.0
-3.07391	-0.779975	38	109	-45.0
-2.968	-0.790168	40	109	-34.0
-2.86365	-0.779563	42	109	-34.0
-2.75715	-0.781133	44	109	-34.0
-2.6533	-0.781922	46	109	-34.0
-2.54403	-0.779885	49	109	-42.0
-2.42994	-0.781217	51	109	-41.0
-2.33	-0.757461	53	109	-39.0
-2.22606	-0.7577	55	109	-39.0
-2.10497	-0.763219	57	109	-38.0
-2.0064	-0.781293	59	109	-45.0
-1.90209	-0.783777	61	109	-41.0
-1.81537	-0.744707	63	108	-43.0
-1.70301	-0.74444	65	108	-43.0
-1.59925	-0.744295	68	108	-43.0
-1.4923	-0.748239	70	108	-43.0
-1.3837	-0.747737	72	108	-43.0
-1.27215	-0.752138	74	109	-43.0
-1.16346	-0.752275	76	109	-42.0
-1.05869	-0.736594	78	108	-42.0
-0.963636	-0.673522	80	107	-42.0
-0.885884	-0.598791	82	105	-42.0
-0.825693	-0.522333	83	104	-43.0
-0.816891	-0.416413	83	102	-43.0
-0.830636	-0.286811	83	99	-43.0
-0.924521	-0.239905	81	98	-43.0
-1.03558	-0.262573	79	99	-43.0
-1.16232	-0.270101	76	99	-43.0
-1.27528	-0.288198	74	99	-43.0
-1.40053	-0.319265	71	100	-43.0
-1.51576	-0.335183	69	100	-43.0
-1.62864	-0.327465	67	100	-45.0
-1.75046	-0.32475	64	100	-45.0
-1.86598	-0.317924	62	100	-45.0
-1.97783	-0.313679	60	100	-45.0
-2.08085	-0.277975	58	99	-35.0
-2.1925	-0.271424	56	99	-36.0
-2.29917	-0.265156	54	99	-34.0
-2.4331	-0.247347	51	98	-34.0
-2.55024	-0.236793	48	98	-45.0
-2.65531	-0.222222	46	98	-38.0
-2.75554	-0.19386	44	97	-34.0
-2.87633	-0.183049	42	97	-34.0
-2.99001	-0.172292	40	97	-34.0
-3.09501	-0.149685	38	96	-34.0
-3.20927	-0.0885914	35	95	-34.0
-3.30048	-0.00481417	33	94	-34.0
-3.34215	0.107149	33	91	-34.0
-3.37082	0.228664	32	89	-34.0
-3.41914	0.323088	31	87	-34.0
-3.49375	0.391101	30	86	-37.0
-3.59496	0.443027	28	85	-37.0
-3.7157	0.467735	25	84	-37.0
-3.84523	0.482509	23	84	-37.0
-3.9496	0.449349	21	85	-37.0
-4.06398	0.412534	18	85	-37.0
-4.17772	0.388463	16	86	-37.0
-4.29857	0.38214	14	86	-37.0
-4.40664	0.381507	11	86	-37.0
-4.51761	0.37933	9	86	-37.0
-4.62879	0.384386	7	86	-41.0
-4.52031	0.376081	9	86	-41.0
-4.40913	0.367915	11	86	-41.0
-4.30641	0.368317	13	86	-41.0
-4.19498	0.359475	16	86	-41.0
-4.09054	0.356521	18	86	-41.0
-3.97493	0.348509	20	87	-37.0
-3.86734	0.341323	22	87	-37.0
-3.75946	0.320909	24	87	-37.0
-3.65533	0.315194	26	87	-37.0
-3.55058	0.302524	28	87	-37.0
-3.4446	0.294697	31	88	-37.0
-3.34409	0.288629	33	88	-36.0
-3.21475	0.28364	35	88	-36.0
-3.09131	0.268848	38	88	-36.0
-2.97741	0.267335	40	88	-38.0
-2.87726	0.262793	42	88	-38.0
-2.7638	0.262203	44	88	-38.0
-2.65463	0.265499	46	88	-38.0
-2.53336	0.265693	49	88	-38.0
-2.42252	0.253887	51	88	-38.0
-2.3089	0.243803	53	89	-38.0
-2.20151	0.239903	55	89	-38.0
-2.09416	0.241991	58	89	-38.0
-1.98551	0.235964	60	89	-39.0
-1.87569	0.204976	62	89	-39.0
-1.76357	0.194817	64	90	-39.0
-1.65541	0.188088	66	90	-39.0
-1.54308	0.187834	69	90	-39.0
-1.43993	0.183394	71	90	-39.0
-1.32758	0.18076	73	90	-39.0
-1.21762	0.158619	75	90	-41.0
-1.10661	0.135661	77	91	-35.0
-0.993478	0.113281	80	91	-35.0
-0.886673	0.114942	82	91	-40.0
-0.786977	0.151044	84	90	-40.0
-0.717023	0.224584	85	89	-40.0
-0.68185	0.320142	86	87	-45.0
-0.664193	0.440715	86	85	-43.0
-0.653754	0.566662	86	82	-41.0
-0.659138	0.688597	86	80	-41.0
-0.718554	0.773519	85	78	-41.0
-0.807769	0.841051	83	77	-41.0
-0.926499	0.850769	81	76	-42.0
-1.03946	0.859185	79	76	-42.0
